Company_Identifier,CompanyName,Year,URL,Source_Page,Title,Source
S3,Alfa Laval,2024,https://mb.cision.com/Main/905/4128683/3359424.pdf,https://mfn.se/cis/a/alfa-laval/alfa-laval-publicerar-ars-och-hallbarhetsredovisning-for-2024-f6a65811,Annual Report 2024 (via MFN),mfn
S3,Alfa Laval,2024,https://mb.cision.com/Public/905/4128683/8e75a2deaf874680.pdf,https://mfn.se/cis/a/alfa-laval/alfa-laval-publicerar-ars-och-hallbarhetsredovisning-for-2024-f6a65811,Annual Report 2024 (via MFN),mfn
S3,Alfa Laval,2024,https://mb.cision.com/Main/905/4128721/3359435.pdf,https://mfn.se/cis/a/alfa-laval/alfa-lavals-annual-and-sustainability-report-for-2024-published-83349e40,Annual Report 2024 (via MFN),mfn
S3,Alfa Laval,2024,https://mb.cision.com/Public/905/4128721/b3609387bc96eb5f.pdf,https://mfn.se/cis/a/alfa-laval/alfa-lavals-annual-and-sustainability-report-for-2024-published-83349e40,Annual Report 2024 (via MFN),mfn
S3,Alfa Laval,2019,https://mb.cision.com/Main/905/3069338/1218261.pdf,https://mfn.se/cis/a/alfa-laval/alfa-lavals-annual-report-for-2019-70076d6e,Annual Report 2019 (MFN/Cision),mfn
S3,Alfa Laval,2020,https://mb.cision.com/Main/905/3318000/1395725.pdf,https://mfn.se/cis/a/alfa-laval/alfa-laval-alf-lavals-annual-report-for-2020-bc54ad09,Annual Report 2020 (MFN/Cision),mfn
S3,Alfa Laval,2020,https://mb.cision.com/Main/905/3227250/1327349.pdf,https://mfn.se/cis/a/alfa-laval/alfa-laval-supplements-the-tender-offer-document-dated-12-august-2020-regarding-the-recommended-public-cash-tender-offer-for-all-shares-in-neles-093715d8,Annual Report 2020 (MFN/Cision),mfn
S3,Alfa Laval,2020,https://mb.cision.com/Main/905/3220154/1322018.pdf,https://mfn.se/cis/a/alfa-laval/alfa-laval-supplements-the-tender-offer-document-dated-12-august-2020-regarding-the-recommended-public-cash-tender-offer-for-all-shares-in-neles-e46c8aaf,Annual Report 2020 (MFN/Cision),mfn
S3,Alfa Laval,2021,https://mb.cision.com/Main/905/3536813/1557177.pdf,https://mfn.se/cis/a/alfa-laval/alfa-lavals-annual-and-sustainability-report-for-2021-published-47857ab7,Annual Report 2021 (MFN/Cision),mfn
S3,Alfa Laval,2021,https://mb.cision.com/Public/905/3536813/b3ca628dc83bd409.pdf,https://mfn.se/cis/a/alfa-laval/alfa-lavals-annual-and-sustainability-report-for-2021-published-47857ab7,Annual Report 2021 (MFN/Cision),mfn
S3,Alfa Laval,2022,https://mb.cision.com/Main/905/3744039/1955700.pdf,https://mfn.se/cis/a/alfa-laval/alfa-lavals-annual-and-sustainability-report-for-2022-published-0d89d07c,Annual Report 2022 (MFN/Cision),mfn
S3,Alfa Laval,2022,https://mb.cision.com/Public/905/3744039/b35595c86e97d352.pdf,https://mfn.se/cis/a/alfa-laval/alfa-lavals-annual-and-sustainability-report-for-2022-published-0d89d07c,Annual Report 2022 (MFN/Cision),mfn
S3,Alfa Laval,2022,https://mb.cision.com/Main/905/3674298/1700253.pdf,https://mfn.se/cis/a/alfa-laval/alfa-laval-capital-markets-day-2022-the-impact-of-sustainability-98df76f2,Annual Report 2022 (MFN/Cision),mfn
S3,Alfa Laval,2022,https://www.alfalaval.com/globalassets/documents/investors/english/quarterly-publications/2022/2022-q3-quarterly-report.pdf,https://mfn.se/cis/a/alfa-laval/alfa-laval-capital-markets-day-2022-the-impact-of-sustainability-98df76f2,Annual Report 2022 (MFN/Cision),mfn
S3,Alfa Laval,2023,https://mb.cision.com/Main/905/3953677/2701033.pdf,https://mfn.se/cis/a/alfa-laval/alfa-lavals-annual-and-sustainability-report-for-2023-published-593e6a20,Annual Report 2023 (MFN/Cision),mfn
