BioGaia B	SEK	111.90	-0.70	-0.62%	112.20	112.40	161,217	18,102,420	18:00:00
BioInvent International	SEK	29.20	-0.75	-2.50%	29.15	29.35	106,312	3,117,321	18:00:00
Björn Borg	SEK	59.90	-0.10	-0.16%	59.40	60.00	14,726	879,105	18:00:00
Boliden	SEK	572.20	-23.20	-3.89%	569.80	570.00	2,159,191	1,239,849,556	18:00:00
Bonava A	SEK	11.40	+0.40	+3.63%			4,555	50,793	18:00:00
Bonava B	SEK	11.50	+0.30	+2.67%	11.42	11.50	7,232,902	81,051,833	18:00:00
BONESUPPORT HOLDING	SEK	211.00	-11.80	-5.29%	211.00	211.60	468,797	100,548,916	18:00:00
Bong	SEK	0.65	+0.01	+1.56%	0.632	0.658	9,866	6,369	18:00:00
Boozt	SEK	101.00	-2.40	-2.32%	101.10	101.20	152,232	15,351,859	18:00:00
Boule Diagnostics	SEK	5.44	+0.14	+2.64%	5.30	5.44	4,094	22,004	18:00:00
Bravida Holding	SEK	90.25	-0.20	-0.22%	90.40	90.50	424,116	38,361,348	18:00:00
Brinova Fastigheter B	SEK	15.95	-0.15	-0.93%	15.95	16.05	33,565	535,407	18:00:00
BTS Group B	SEK	139.80	-2.20	-1.54%	139.60	140.00	11,530	1,621,504	18:00:00
Bufab	SEK	100.50	-0.42	-0.41%	100.50	100.88	231,422	23,309,014	18:00:00
Bulten	SEK	49.90	-0.70	-1.38%	49.95	50.30	25,630	1,284,617	18:00:00
Bure Equity	SEK	242.80	-1.60	-0.65%	242.60	243.00	118,941	28,887,183	18:00:00
Byggmax Group	SEK	57.10	0.00	0.00%	56.90	57.20	310,093	17,779,262	18:00:00
C-RAD B	SEK	32.35	-0.20	-0.61%	32.20	32.40	5,650	181,497	18:00:00
Camurus	SEK	691.50	+4.50	+0.65%	693.00	694.00	97,891	68,108,187	18:00:00
Cantargia	SEK	5.34	-0.31	-5.48%	5.27	5.33	6,464,441	34,093,971	18:00:00
Carasent	SEK	26.95	-0.45	-1.64%	26.85	27.15	69,177	1,874,729	18:00:00
Castellum	SEK	109.95	-1.05	-0.94%	110.05	110.45	1,010,270	111,481,147	18:00:00
Catella A	SEK	28.00	+0.20	+0.71%			152	4,256	18:00:00
Catella B	SEK	28.50	-0.30	-1.04%	28.35	28.55	33,463	956,559	18:00:00
Catena	SEK	485.00	+3.60	+0.74%	485.00	485.20	130,617	63,173,085	18:00:00
Catena Media	SEK	1.654	-0.06	-3.50%	1.654	1.714	390,460	654,238	18:00:00
Cavotec Group	SEK	15.10	+1.20	+8.63%	15.00	15.10	58,142	842,508	18:00:00
CellaVision	SEK	160.00	-0.20	-0.12%	159.40	160.60	32,726	5,168,449	18:00:00
Cibus Nordic Real Estate	SEK	152.80	+1.70	+1.12%	152.35	152.50	254,520	38,701,220	18:00:00
Cinclus Pharma Holding	SEK	19.10	-0.24	-1.24%	18.72	19.08	45,616	867,182	18:00:00
Cint Group	SEK	2.81	-0.11	-3.76%	2.802	2.848	1,182,760	3,363,268	18:00:00
Clas Ohlson B	SEK	298.00	+3.40	+1.15%	298.00	298.40	186,472	55,335,758	18:00:00
Cloetta B	SEK	43.06	+0.04	+0.09%	42.94	43.00	618,848	26,784,944	18:00:00
CoinShares International	SEK	122.40	+0.20	+0.16%	120.00	121.00	95,657	11,668,713	18:00:00
Concejo B	SEK	46.40	-0.20	-0.42%	46.40	47.30	1,896	88,958	18:00:00
Coor Service Management Hold.	SEK	48.40	+0.36	+0.74%	48.46	48.58	105,802	5,125,045	18:00:00
Corem Property Group A	SEK	4.50	-0.19	-4.05%			8,111	37,758	18:00:00
Corem Property Group B	SEK	4.25	-0.212	-4.75%	4.252	4.266	2,949,207	12,671,554	18:00:00
Corem Property Group D	SEK	242.00	+0.50	+0.20%	242.00	243.00	3,372	817,387	18:00:00
CTEK	SEK	13.20	+0.30	+2.32%	13.20	13.28	130,656	1,719,087	18:00:00
CTT Systems	SEK	182.20	-2.40	-1.30%	181.20	182.00	15,913	2,904,189	18:00:00
Dedicare B	SEK	43.40	+0.35	+0.81%	43.10	43.40	11,832	510,154	18:00:00
Diös Fastigheter	SEK	66.50	+0.20	+0.30%	66.50	66.60	247,526	16,450,616	18:00:00
Dometic Group	SEK	49.04	-0.88	-1.76%	48.90	49.04	1,273,503	62,845,144	18:00:00
Duni	SEK	103.60	-1.40	-1.33%	103.60	104.00	16,360	1,700,751	18:00:00
Duroc B	SEK	15.60	-0.20	-1.26%	15.55	15.60	10,760	170,400	18:00:00
Dustin Group	SEK	1.783	-0.072	-3.88%	1.78	1.783	6,341,448	11,227,575	18:00:00
Dynavox Group	SEK	104.80	+1.70	+1.64%	105.00	105.30	289,322	30,115,480	18:00:00
Eastnine	SEK	50.80	+0.30	+0.59%	50.50	50.90	60,334	3,054,296	18:00:00
Egetis Therapeutics	SEK	4.55	+0.075	+1.67%	4.545	4.585	882,476	4,057,075	18:00:00
Elanders B	SEK	68.80	-0.70	-1.00%	68.20	68.90	8,347	572,916	18:00:00
Electrolux A	SEK	71.00	+1.00	+1.42%			4,393	310,856	18:00:00
Electrolux B	SEK	68.64	+0.44	+0.64%	68.36	68.48	1,175,241	80,262,459	18:00:00
Electrolux Professional B	SEK	62.40	-0.30	-0.47%	62.50	62.70	149,149	9,303,469	18:00:00
Elekta B	SEK	63.25	+2.10	+3.43%	63.40	63.50	3,167,478	201,844,848	18:00:00
Elon	SEK	19.40	+0.20	+1.04%	18.85	19.40	4,950	95,417	18:00:00
