CompanyName	Company_Identifier	What_to_capture	FiscalYear	IR_URL	Capture_attempt_date	AgentId	CaptureStatus	CaptureStatusDetails	milestone1_Establish_Connection	milestone2_Find_object_to_capture	milestone3_download_object	Milestone4_object_passed_validation	Report_URL	Source_Page	Pages	Size_MB	Probability_Annual_Report	Document_Type	Classification_Reasoning	User_Agent_Used	Validation_Status	Validation_Confidence	Validation_Issues	Validation_Date	Priority	Failure_Reason
Boliden	S7	Annual report	2023	https://investors.boliden.com/	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/997/3940837/2649391.pdf	https://mfn.se/cis/a/boliden/boliden-publishes-annual-and-sustainability-report-2023-c08abf95	144.0	8.65		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	85.1%		2026-01-17 15:57:08	Complete ✓	No report URL found for 2023 (found 0 reports for other years)
Boliden	S7	Annual report	2024	https://investors.boliden.com/	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/997/4121044/3330967.pdf	https://mfn.se/cis/a/boliden/boliden-publishes-annual-and-sustainability-report-2024-b8884bf4	192.0	20.93		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	97.9%		2026-01-17 15:57:10	Complete ✓	No report URL found for 2024 (found 0 reports for other years)
Epiroc A	S8	Annual report	2019	https://www.epirocgroup.com/en/investors/investor-contacts	2025-12-22	A1	Validated	Report not found during search	Pass	Failed	Not Attempted	Not Attempted	https://mb.cision.com/Main/16899/3057327/1209748.pdf	https://mfn.se/cis/a/epiroc/epiroc-publishes-annual-and-sustainability-report-for-2019-de8eaa86	140.0	4.41	0.00%	Not Found	No report found for this year	Rotated (5 variants)	Valid	84.0%		2026-01-17 15:57:09	Complete ✓	No report URL found for 2019 (found 0 reports for other years)
Epiroc A	S8	Annual report	2020	https://www.epirocgroup.com/en/investors/investor-contacts	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/16899/3304276/1385187.pdf	https://mfn.se/cis/a/epiroc/epiroc-publishes-annual-and-sustainability-report-for-2020-7919d6b2	152.0	12.51		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	87.2%		2026-01-17 15:57:09	Complete ✓	No report URL found for 2020 (found 0 reports for other years)
Epiroc A	S8	Annual report	2021	https://www.epirocgroup.com/en/investors/investor-contacts	2025-12-22	A1	Validated	Report not found during search	Pass	Failed	Not Attempted	Not Attempted	https://mb.cision.com/Main/16899/3517772/1543872.pdf	https://mfn.se/cis/a/epiroc/epiroc-publishes-annual-and-sustainability-report-for-2021-129c9c98	152.0	12.51	0.00%	Not Found	No report found for this year	Rotated (5 variants)	Valid	87.2%		2026-01-17 15:57:09	Complete ✓	No report URL found for 2021 (found 0 reports for other years)
Epiroc A	S8	Annual report	2022	https://www.epirocgroup.com/en/investors/investor-contacts	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/16899/3731614/1905213.pdf	https://mfn.se/cis/a/epiroc/epiroc-publishes-annual-and-sustainability-report-for-2022-f98a65b6	164.0	16.00		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	90.4%		2026-01-17 15:57:09	Complete ✓	No report URL found for 2022 (found 0 reports for other years)
Epiroc A	S8	Annual report	2023	https://www.epirocgroup.com/en/investors/investor-contacts	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/16899/3942400/2654456.pdf	https://mfn.se/cis/a/epiroc/epiroc-publishes-annual-and-sustainability-report-for-2023-91d57dd9	176.0	9.65		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	93.6%		2026-01-17 15:57:09	Complete ✓	No report URL found for 2023 (found 0 reports for other years)
Epiroc A	S8	Annual report	2024	https://www.epirocgroup.com/en/investors/investor-contacts	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/16899/4121726/3332422.pdf	https://mfn.se/cis/a/epiroc/epiroc-publishes-annual-and-sustainability-report-for-2024-b313e544	212.0	10.22		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	100.0%		2026-01-17 15:57:10	Complete ✓	No report URL found for 2024 (found 0 reports for other years)
Ericsson B	S10	Annual report	2019	https://www.ericsson.com/en/investors	2025-12-22	A1	Validated	already_exists	Pass	Pass	Skipped	Skipped	https://mb.cision.com/Main/15448/3050873/1204725.pdf	https://mfn.se/cis/a/ericsson/ericsson-annual-report-2019-published-4c33b0a7	220.0	4.71		Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	100.0%		2026-01-17 15:57:10	Complete ✓	No report URL found for 2019 (found 0 reports for other years)
Ericsson B	S10	Annual report	2020	https://www.ericsson.com/en/investors	2025-12-22	A1	Validated	Report not found during search	Pass	Failed	Not Attempted	Not Attempted	https://mb.cision.com/Main/15448/3300586/1382693.pdf	https://mfn.se/cis/a/ericsson/ericsson-annual-report-2020-published-f09033a8	216.0	4.23	0.00%	Not Found	No report found for this year	Rotated (5 variants)	Valid	100.0%		2026-01-17 15:57:10	Complete ✓	No report URL found for 2020 (found 0 reports for other years)
Ericsson B	S10	Annual report	2021	https://www.ericsson.com/en/investors	2025-12-22	A1	Downloaded	Successfully validated: 219 pages, 100.0% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.ericsson.com/en/investors				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	100.0%		2025-12-22 00:46:36	Complete ✓	
Ericsson B	S10	Annual report	2022	https://www.ericsson.com/en/investors	2025-12-22	A1	Downloaded	Successfully validated: 240 pages, 100.0% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.ericsson.com/en/investors				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	100.0%		2025-12-22 00:46:36	Complete ✓	
Ericsson B	S10	Annual report	2023	https://www.ericsson.com/en/investors	2025-12-22	A1	Downloaded	Successfully validated: 241 pages, 100.0% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.ericsson.com/en/investors				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	100.0%		2025-12-22 00:46:35	Complete ✓	
Ericsson B	S10	Annual report	2024	https://www.ericsson.com/en/investors	2025-12-22	A1	Downloaded	Successfully validated: 244 pages, 100.0% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.ericsson.com/en/investors				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	100.0%		2025-12-22 00:46:36	Complete ✓	
Essity B	S11	Annual report	2019	https://www.essity.com/investors/	2025-12-22	A1	Validated	Report not found during search	Pass	Failed	Not Attempted	Not Attempted	https://mb.cision.com/Main/15798/3056520/1208996.pdf	https://mfn.se/cis/a/essity/essity-publishes-its-annual-and-sustainability-report-for-2019-5605d1cd	136.0	5.65	0.00%	Not Found	No report found for this year	Rotated (5 variants)	Valid	82.9%		2026-01-17 15:57:11	Complete ✓	No report URL found for 2019 (found 0 reports for other years)
Essity B	S11	Annual report	2020	https://www.essity.com/investors/	2025-12-22	A1	Downloaded	Successfully validated: 148 pages, 86.1% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.essity.com/investors/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	86.1%		2025-12-22 00:46:38	Complete ✓	
Essity B	S11	Annual report	2021	https://www.essity.com/investors/	2025-12-22	A1	Validated	Report not found during search	Pass	Failed	Not Attempted	Not Attempted	https://mb.cision.com/Main/15798/3516917/1542906.pdf	https://mfn.se/cis/a/essity/essity-publishes-annual-and-sustainability-report-2021-6c006da5	148.0	8.06	0.00%	Not Found	No report found for this year	Rotated (5 variants)	Valid	86.1%		2026-01-17 15:57:11	Complete ✓	No report URL found for 2021 (found 0 reports for other years)
Essity B	S11	Annual report	2022	https://www.essity.com/investors/	2025-12-22	A1	Downloaded	Successfully validated: 164 pages, 90.4% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.essity.com/investors/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	90.4%		2025-12-22 00:46:38	Complete ✓	
Essity B	S11	Annual report	2023	https://www.essity.com/investors/	2025-12-22	A1	Downloaded	Successfully validated: 188 pages, 96.8% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.essity.com/investors/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	96.8%		2025-12-22 00:46:37	Complete ✓	
Essity B	S11	Annual report	2024	https://www.essity.com/investors/	2025-12-22	A1	Downloaded	Successfully validated: 192 pages, 97.9% confidence	Pass	Pass	Skipped	Pass	Already downloaded	https://www.essity.com/investors/				Previously Downloaded	Skipped (file already exists)	Rotated (5 variants)	Valid	97.9%		2025-12-22 00:46:39	Complete ✓	
Evolution	S12	Annual report	2019	https://www.evolution.com/investors/ir-contacts/	2025-12-22	A1	Validated	Report not found during search	Pass	Failed	Not Attempted	Not Attempted	https://mb.cision.com/Main/12069/3066661/1216435.pdf	https://mfn.se/cis/a/evolution/evolution-gaming-annual-report-2019-deffd2d4	116.0	9.33	0.00%	Not Found	No report found for this year	Rotated (5 variants)	Valid	77.6%		2026-01-17 15:57:11	Complete ✓	No report URL found for 2019 (found 0 reports for other years)
